 () , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"2342410","FRME","First Merchants Corp",1014527,$33905492.34,0.06457,"Banks","US","Common Stock"
,"2067672","AZZ","AZZ Inc",473135,$33890660.05,0.06454,"Building Products","US","Common Stock"
,"BMXL9H3","EBC","Eastern Bankshares Inc",2680929,$33672468.24,0.06412,"Banks","US","Common Stock"
,"2092942","PSMT","PriceSmart Inc",416709,$33582578.31,0.06395,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2980906","FL","Foot Locker Inc",1607807,$33522775.95,0.06384,"Specialty Retail","US","Common Stock"
,"2289841","DY","Dycom Industries Inc",237887,$33308937.74,0.06343,"Construction & Engineering","US","Common Stock"
,"BGJRH57","CWEN","Clearway Energy Inc",1415969,$33105355.22,0.06304,"Independent Power and Renewable Electricity Producers","US","Common Stock"
,"2248693","IART","Integra LifeSciences Holdings Corp",1134730,$33100074.1,0.06303,"Health Care Equipment & Supplies","US","Common Stock"
,"2852760","JBLU","JetBlue Airways Corp",5789542,$32884598.56,0.06262,"Passenger Airlines","US","Common Stock"
,"2673251","PRK","Park National Corp",247576,$32608234.96,0.0621,"Banks","US","Common Stock"
,"2849193","VRNT","Verint Systems Inc",1075556,$32567835.68,0.06202,"Software","US","Common Stock"
,"B2NC471","SATS","EchoStar Corp",2032265,$32495917.35,0.06188,"Media","US","Common Stock"
,"BPH3N63","EQC","Equity Commonwealth",1735222,$32483355.84,0.06186,"Office REITs","US","REIT"
,"BLNMFN7","AVDX","AvidXchange Holdings Inc",2774071,$32345667.86,0.0616,"Financial Services","US","Common Stock"
,"BMFQC33","HAYW","Hayward Holdings Inc",2370659,$32193549.22,0.06131,"Building Products","US","Common Stock"
,"BX8ZSB4","EPC","Edgewell Personal Care Co",852026,$32053218.12,0.06104,"Personal Care Products","US","Common Stock"
,"B1W7RQ0","CNK","Cinemark Holdings Inc",1867976,$32017108.64,0.06097,"Entertainment","US","Common Stock"
,"BTPSGQ9","UE","Urban Edge Properties",1907397,$31910751.81,0.06077,"Retail REITs","US","REIT"
,"B090B96","DRH","DiamondRock Hospitality Co",3577919,$31843479.1,0.06064,"Hotel & Resort REITs","US","REIT"
,"BNT8W21","HLMN","Hillman Solutions Corp",3330464,$31839235.84,0.06063,"Machinery","US","Common Stock"
,"2488121","KMT","Kennametal Inc",1352708,$31829219.24,0.06061,"Machinery","US","Common Stock"
,"2435246","HNI","HNI Corp",755148,$31678458.6,0.06033,"Commercial Services & Supplies","US","Common Stock"
,"B4Y1MH7","KAR","OPENLANE Inc",1843704,$31674834.72,0.06032,"Commercial Services & Supplies","US","Common Stock"
,"2641827","JWN","Nordstrom Inc",1662211,$31598631.11,0.06017,"Broadline Retail","US","Common Stock"
,"2594222","MLKN","MillerKnoll Inc",1241976,$31583449.68,0.06014,"Commercial Services & Supplies","US","Common Stock"
,"BZ12TX5","ATGE","Adtalem Global Education Inc",635195,$31518375.9,0.06002,"Diversified Consumer Services","US","Common Stock"
,"BWTVWD4","VIRT","Virtu Financial Inc",1450434,$31474417.8,0.05994,"Capital Markets","US","Common Stock"
,"B095X84","THS","TreeHouse Foods Inc",830764,$31195188.2,0.0594,"Food Products","US","Common Stock"
,"2762030","BFH","Bread Financial Holdings Inc",843356,$31128269.96,0.05928,"Consumer Finance","US","Common Stock"
,"2007281","NSP","Insperity Inc",302329,$31118723.97,0.05926,"Professional Services","US","Common Stock"
,"BPW7PC0","PHIN","Phinia Inc",796606,$31067634,0.05916,"Automobile Components","US","Common Stock"
,"2711656","NYCB","New York Community Bancorp Inc",11712735,$31038747.75,0.05911,"Banks","US","Common Stock"
,"2665128","OMI","Owens & Minor Inc",1241591,$30716961.34,0.05849,"Health Care Providers & Services","US","Common Stock"
,"BJRFSB7","IMVT","Immunovant Inc",1115751,$30616207.44,0.0583,"Biotechnology","US","Common Stock"
,"2946243","VSAT","Viasat Inc",1924231,$30614515.21,0.0583,"Communications Equipment","US","Common Stock"
,"BD3WG50","GOLF","Acushnet Holdings Corp",502027,$30613606.46,0.0583,"Leisure Products","US","Common Stock"
,"BJQ05Y5","EDR","Endeavor Group Holdings Inc",1153834,$30472755.94,0.05803,"Entertainment","US","Common Stock"
,"BNLYWQ1","GEO","GEO Group Inc/The",2046325,$30408389.5,0.05791,"Commercial Services & Supplies","US","Common Stock"
,"2941981","WAFD","WaFd Inc",1117226,$30265652.34,0.05763,"Banks","US","Common Stock"
,"2566522","AKR","Acadia Realty Trust",1750094,$30241624.32,0.05759,"Retail REITs","US","REIT"
,"BK1KWG8","BBIO","Bridgebio Pharma Inc",1179946,$30230216.52,0.05757,"Biotechnology","US","Common Stock"
,"2274922","ANDE","Andersons Inc/The",548421,$30130249.74,0.05738,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2845005","SCL","Stepan Co",362480,$30082215.2,0.05729,"Chemicals","US","Common Stock"
,"BMCRLL0","JOBY","Joby Aviation Inc",5940732,$30000696.6,0.05713,"Passenger Airlines","US","Common Stock"
,"BYXB201","VIAV","Viavi Solutions Inc",3797038,$29996600.2,0.05712,"Communications Equipment","US","Common Stock"
,"BFZ4N46","CWK","Cushman & Wakefield PLC",3102650,$29940572.5,0.05702,"Real Estate Management & Development","US","Common Stock"
,"2420101","HP","Helmerich & Payne Inc",758800,$29843604,0.05683,"Energy Equipment & Services","US","Common Stock"
,"B4XBDV9","PEB","Pebblebrook Hotel Trust",2052653,$29825048.09,0.0568,"Hotel & Resort REITs","US","REIT"
,"B018V76","HURN","Huron Consulting Group Inc",319791,$29817312.84,0.05678,"Professional Services","US","Common Stock"
,"B1P36Y6","CENTA","Central Garden & Pet Co",836056,$29621464.08,0.05641,"Household Products","US","Common Stock"
,"BPLYVR9","LLYVK","Liberty Media Corp-Liberty Live",785049,$29298028.68,0.05579,"Entertainment","US","Tracking Stk"
,"2981932","WOR","Worthington Enterprises Inc",511729,$29250429.64,0.0557,"Household Durables","US","Common Stock"
,"BLPHWK6","ODP","ODP Corp/The",573886,$29216536.26,0.05564,"Specialty Retail","US","Common Stock"
,"B87LKR8","OFG","OFG Bancorp",802849,$28990877.39,0.05521,"Banks","US","Common Stock"
,"B018PR4","TOWN","Towne Bank/Portsmouth VA",1118471,$28934844.77,0.0551,"Banks","US","Common Stock"
,"B1CL8J2","CAR","Avis Budget Group Inc",302632,$28886224.4,0.05501,"Ground Transportation","US","Common Stock"
,"2080732","B","Barnes Group Inc",821222,$28512827.84,0.0543,"Machinery","US","Common Stock"
,"BYM4WL2","JELD","JELD-WEN Holding Inc",1386904,$28431532,0.05414,"Building Products","US","Common Stock"
,"2614153","MYGN","Myriad Genetics Inc",1449696,$28370550.72,0.05403,"Biotechnology","US","Common Stock"
,"BF5P189","DK","Delek US Holdings Inc",1036306,$28322242.98,0.05393,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2632650","VYX","NCR Voyix Corp",2287680,$28024080,0.05337,"Software","US","Common Stock"
,"BLG38Q1","MC","Moelis & Co",568631,$27908409.48,0.05315,"Capital Markets","US","Common Stock"
,"BKP4ZK1","IVT","InvenTrust Properties Corp",1098478,$27835432.52,0.05301,"Retail REITs","US","REIT"
,"2340210","TRMK","Trustmark Corp",938183,$27770216.8,0.05288,"Banks","US","Common Stock"
,"2078782","BANF","BancFirst Corp",308988,$27552459.96,0.05247,"Banks","US","Common Stock"
,"B2PFJR3","DAN","Dana Inc",2216284,$27548410.12,0.05246,"Automobile Components","US","Common Stock"
,"BZCFW78","GNL","Global Net Lease Inc",3927607,$27296868.65,0.05198,"Diversified REITs","US","REIT"
,"2665300","OXM","Oxford Industries Inc",253091,$27278147.98,0.05195,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BZ8VC58","CXW","CoreCivic Inc",1825461,$27199368.9,0.0518,"Commercial Services & Supplies","US","Common Stock"
,"2192392","CAKE","Cheesecake Factory Inc/The",779275,$26900573,0.05123,"Hotels, Restaurants & Leisure","US","Common Stock"
,"B6YR5K3","TDS","Telephone and Data Systems Inc",1717089,$26872442.85,0.05117,"Wireless Telecommunication Services","US","Common Stock"
,"BMGTPK9","PWSC","PowerSchool Holdings Inc",1549564,$26838448.48,0.05111,"Software","US","Common Stock"
,"2208136","CDE","Coeur Mining Inc",5931297,$26809462.44,0.05105,"Metals & Mining","US","Common Stock"
,"2626459","NBTB","NBT Bancorp Inc",762775,$26704752.75,0.05085,"Banks","US","Common Stock"
,"B72ZBG4","SUPN","Supernus Pharmaceuticals Inc",884812,$26632841.2,0.05072,"Pharmaceuticals","US","Common Stock"
,"BMG95P4","INFA","Informatica Inc",856694,$26531813.18,0.05052,"Software","US","Common Stock"
,"2965668","WLY","John Wiley & Sons Inc",703777,$26440901.89,0.05035,"Media","US","Common Stock"
,"2670809","RNST","Renasant Corp",909409,$26427425.54,0.05033,"Banks","US","Common Stock"
,"BS70KN1","WS","Worthington Steel Inc",857613,$26405904.27,0.05028,"Metals & Mining","US","Common Stock"
,"2953782","WSBC","WesBanco Inc",961711,$25966197,0.04945,"Banks","US","Common Stock"
,"B1BJSL9","HBI","Hanesbrands Inc",5685686,$25926728.16,0.04937,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"2437112","HMN","Horace Mann Educators Corp",695998,$25654486.28,0.04885,"Insurance","US","Common Stock"
,"BKV9674","REYN","Reynolds Consumer Products Inc",895211,$25629890.93,0.04881,"Household Products","US","Common Stock"
,"B0WR848","HEES","H&E Equipment Services Inc",529280,$25558931.2,0.04867,"Trading Companies & Distributors","US","Common Stock"
,"BMH0MV1","DNOW","DNOW Inc",1811128,$25555016.08,0.04866,"Trading Companies & Distributors","US","Common Stock"
,"2346003","BANR","Banner Corp",585623,$25550731.49,0.04866,"Banks","US","Common Stock"
,"B3KKGQ8","VRTS","Virtus Investment Partners Inc",116382,$25524900.24,0.04861,"Capital Markets","US","Common Stock"
,"2388016","GEF","Greif Inc",414236,$25384382.08,0.04834,"Containers & Packaging","US","Common Stock"
,"B28YD08","ROIC","Retail Opportunity Investments Corp",2054839,$25212874.53,0.04801,"Retail REITs","US","REIT"
,"BYM9ZP2","LITE","Lumentum Holdings Inc",574731,$25150228.56,0.04789,"Communications Equipment","US","Common Stock"
,"BJJD5G3","XRX","Xerox Holdings Corp",1886150,$25066933.5,0.04773,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2387530","GBX","Greenbrier Cos Inc/The",503898,$24887522.22,0.04739,"Machinery","US","Common Stock"
,"BVV6CY1","XHR","Xenia Hotels & Resorts Inc",1793837,$24880519.19,0.04738,"Hotel & Resort REITs","US","REIT"
,"BMH0MP5","SFBS","ServisFirst Bancshares Inc",420210,$24775581.6,0.04718,"Banks","US","Common Stock"
,"BLFGN66","PRG","PROG Holdings Inc",744755,$24755656.2,0.04714,"Consumer Finance","US","Common Stock"
,"2635659","TTMI","TTM Technologies Inc",1656108,$24725692.44,0.04709,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BCZM468","DOOR","Masonite International Corp",186228,$24684521.4,0.04701,"Building Products","US","Common Stock"
,"2578464","MCY","Mercury General Corp",472173,$24675760.98,0.04699,"Insurance","US","Common Stock"
,"2498788","LTC","LTC Properties Inc",738819,$24454908.9,0.04657,"Health Care REITs","US","REIT"
,"2553911","SHOO","Steven Madden Ltd",603983,$24406953.03,0.04648,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"2733092","UPBD","Upbound Group Inc",786838,$24399846.38,0.04646,"Specialty Retail","US","Common Stock"
,"2161778","CHCO","City Holding Co",240260,$24271065.2,0.04622,"Banks","US","Common Stock"
,"BJTD9L6","KN","Knowles Corp",1527838,$24185675.54,0.04606,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BRRD6G8","NATL","NCR Atleos Corp",1208666,$24088713.38,0.04587,"Financial Services","US","Common Stock"
,"BFNR303","NWN","Northwest Natural Holding Co",626928,$23917303.2,0.04555,"Gas Utilities","US","Common Stock"
,"2508405","LZB","La-Z-Boy Inc",726879,$23870706.36,0.04546,"Household Durables","US","Common Stock"
,"BN770G0","COMP","Compass Inc",7538352,$23745808.8,0.04522,"Real Estate Management & Development","US","Common Stock"
,"2515803","VGR","Vector Group Ltd",2283483,$23634049.05,0.04501,"Tobacco","US","Common Stock"
,"BD6VBR1","UNIT","Uniti Group Inc",4092089,$23529511.75,0.04481,"Specialized REITs","US","REIT"
,"BD3BX01","JBGS","JBG SMITH Properties",1566506,$23513255.06,0.04478,"Office REITs","US","REIT"
,"B15CJ33","KALU","Kaiser Aluminum Corp",259456,$23478173.44,0.04471,"Metals & Mining","US","Common Stock"
,"B4JTYX6","ARI","Apollo Commercial Real Estate Finance Inc",2435878,$23457505.14,0.04467,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"BLD5321","LRN","Stride Inc",351101,$23435991.75,0.04463,"Diversified Consumer Services","US","Common Stock"
,"2046176","APOG","Apogee Enterprises Inc",376440,$23256463.2,0.04429,"Building Products","US","Common Stock"
,"BNNTGH3","VSCO","Victoria's Secret & Co",1318967,$23240198.54,0.04426,"Specialty Retail","US","Common Stock"
,"BYP71H7","EYE","National Vision Holdings Inc",1333240,$23225040.8,0.04423,"Specialty Retail","US","Common Stock"
,"B523Z73","NWBI","Northwest Bancshares Inc",2166616,$22966129.6,0.04373,"Banks","US","Common Stock"
,"2469450","WKC","World Kinect Corp",974548,$22901878,0.04361,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B14TC70","CODI","Compass Diversified Holdings",1041053,$22871934.41,0.04355,"Financial Services","US","Common Stock"
,"BPW6ZP0","DBRG","DigitalBridge Group Inc",1390860,$22865738.4,0.04354,"Real Estate Management & Development","US","Common Stock"
,"2269768","DDS","Dillard's Inc",52133,$22833732.67,0.04348,"Broadline Retail","US","Common Stock"
,"2365428","HTH","Hilltop Holdings Inc",777297,$22743710.22,0.04331,"Banks","US","Common Stock"
,"2942304","ELME","Elme Communities",1497065,$22695505.4,0.04322,"Residential REITs","US","REIT"
,"2210885","CSGS","CSG Systems International Inc",476438,$22506931.12,0.04286,"Professional Services","US","Common Stock"
,"2698146","GTY","Getty Realty Corp",827411,$22422838.1,0.0427,"Retail REITs","US","REIT"
,"BP9S504","TWO","Two Harbors Investment Corp",1773103,$22394290.89,0.04265,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"B9M9ZZ7","IBTX","Independent Bank Group Inc",597869,$22264641.56,0.0424,"Banks","US","Common Stock"
,"2447285","NTCT","NetScout Systems Inc",1149338,$22136249.88,0.04215,"Communications Equipment","US","Common Stock"
,"2231091","CBRL","Cracker Barrel Old Country Store Inc",377979,$21994598.01,0.04188,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2351546","FCF","First Commonwealth Financial Corp",1663769,$21945113.11,0.04179,"Banks","US","Common Stock"
,"BYX60M4","INSW","International Seaways Inc",395720,$21879358.8,0.04166,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B0PZN11","UAA","Under Armour Inc",3239364,$21800919.72,0.04152,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"B5L3PZ2","PPC","Pilgrim's Pride Corp",605069,$21794585.38,0.0415,"Food Products","US","Common Stock"
,"2465737","IDCC","InterDigital Inc",217089,$21433196.97,0.04082,"Software","US","Common Stock"
,"BDF9YM2","UA","Under Armour Inc",3245931,$21163470.12,0.0403,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"B888DV3","NBHC","National Bank Holdings Corp",643751,$21069970.23,0.04012,"Banks","US","Common Stock"
,"BF1Q6P8","NMRK","Newmark Group Inc",2191991,$20977353.87,0.03995,"Real Estate Management & Development","US","Common Stock"
,"BJ367P1","LADR","Ladder Capital Corp",1953424,$20960239.52,0.03991,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"B0PZN33","BKD","Brookdale Senior Living Inc",3063200,$20799128,0.03961,"Health Care Providers & Services","US","Common Stock"
,"2789523","OMCL","Omnicell Inc",774376,$20761020.56,0.03954,"Health Care Equipment & Supplies","US","Common Stock"
,"2795542","SMTC","Semtech Corp",551281,$20739191.22,0.03949,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BD8NB53","LGF/B","Lions Gate Entertainment Corp",2199243,$20738861.49,0.03949,"Entertainment","US","Common Stock"
,"BMDH249","LUMN","Lumen Technologies Inc",17314915,$20604748.85,0.03924,"Diversified Telecommunication Services","US","Common Stock"
,"B3V8JL7","PMT","PennyMac Mortgage Investment Trust",1486173,$20583496.05,0.0392,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"B827VB2","ALEX","Alexander & Baldwin Inc",1244107,$20490442.29,0.03902,"Diversified REITs","US","REIT"
,"2923804","UVV","Universal Corp/VA",397490,$20442910.7,0.03893,"Tobacco","US","Common Stock"
,"BLP5GX1","NAVI","Navient Corp",1359881,$20425412.62,0.0389,"Consumer Finance","US","Common Stock"
,"2950374","WABC","Westamerica BanCorp",434581,$20229745.55,0.03852,"Banks","US","Common Stock"
,"2139731","NHC","National HealthCare Corp",222110,$20183135.7,0.03843,"Health Care Providers & Services","US","Common Stock"
,"BF321D7","ESRT","Empire State Realty Trust Inc",2199749,$20017715.9,0.03812,"Diversified REITs","US","REIT"
,"2698782","IPGP","IPG Photonics Corp",237156,$19916360.88,0.03793,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2501578","LGND","Ligand Pharmaceuticals Inc",284017,$19849948.13,0.0378,"Pharmaceuticals","US","Common Stock"
,"2746982","KFRC","Kforce Inc",319646,$19741336.96,0.03759,"Professional Services","US","Common Stock"
,"BFYVKR0","VCTR","Victory Capital Holdings Inc",385705,$19616956.3,0.03736,"Capital Markets","US","Common Stock"
,"BYN87K7","HOPE","Hope Bancorp Inc",1957375,$19612897.5,0.03735,"Banks","US","Common Stock"
,"B1GZ005","SBH","Sally Beauty Holdings Inc",1798346,$19512054.1,0.03716,"Specialty Retail","US","Common Stock"
,"2149934","BKE","Buckle Inc/The",519114,$19409672.46,0.03696,"Specialty Retail","US","Common Stock"
,"2196190","NNI","Nelnet Inc",205734,$19376028.12,0.0369,"Consumer Finance","US","Common Stock"
,"2476513","WT","WisdomTree Inc",2174485,$19352916.5,0.03685,"Capital Markets","US","Common Stock"
,"2813552","AMN","AMN Healthcare Services Inc",322366,$19335512.68,0.03682,"Health Care Providers & Services","US","Common Stock"
,"2192314","VRE","Veris Residential Inc",1334339,$19227824.99,0.03662,"Residential REITs","US","REIT"
,"2958538","SAFT","Safety Insurance Group Inc",241012,$19177324.84,0.03652,"Insurance","US","Common Stock"
,"BFMQPR2","CNNE","Cannae Holdings Inc",969075,$18848508.75,0.03589,"Financial Services","US","Common Stock"
,"BM8MM05","SPHR","Sphere Entertainment Co",484842,$18840960.12,0.03588,"Entertainment","US","Common Stock"
,"BM8Z538","RKLB","Rocket Lab USA Inc",4999189,$18796950.64,0.03579,"Aerospace & Defense","US","Common Stock"
,"B1Q1RR9","EIG","Employers Holdings Inc",441139,$18788110.01,0.03578,"Insurance","US","Common Stock"
,"2781109","STBA","S&T Bancorp Inc",622945,$18781791.75,0.03577,"Banks","US","Common Stock"
,"2369721","GIII","G-III Apparel Group Ltd",666668,$18766704.2,0.03574,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BMCQX44","SPNT","SIRIUSPOINT LTD",1585962,$18682632.36,0.03558,"Insurance","US","Common Stock"
,"B2QXCJ9","NX","Quanex Building Products Corp",561874,$18665454.28,0.03554,"Building Products","US","Common Stock"
,"BMZM2X1","MFA","MFA Financial Inc",1750898,$18542009.82,0.03531,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"B3N6F00","THR","Thermon Group Holdings Inc",578241,$18463235.13,0.03516,"Electrical Equipment","US","Common Stock"
,"2415204","HE","Hawaiian Electric Industries Inc",1865662,$18376770.7,0.03499,"Electric Utilities","US","Common Stock"
,"B1XHRL4","TRS","TriMas Corp",704521,$18310500.79,0.03487,"Containers & Packaging","US","Common Stock"
,"BL97B49","DNUT","Krispy Kreme Inc",1446120,$18293418,0.03484,"Hotels, Restaurants & Leisure","US","Common Stock"
,"B23PS12","CVI","CVR Energy Inc",598983,$18197103.54,0.03465,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2171603","PFS","Provident Financial Services Inc",1230769,$18067688.92,0.03441,"Banks","US","Common Stock"
,"BN2W9T6","AIV","Apartment Investment and Management Co",2249946,$17999568,0.03428,"Residential REITs","US","REIT"
,"2767756","SCSC","ScanSource Inc",431706,$17967603.72,0.03422,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BYXHTC0","CARS","Cars.com Inc",1070505,$17888138.55,0.03406,"Interactive Media & Services","US","Common Stock"
,"BM9NG38","ETWO","E2open Parent Holdings Inc",3673720,$17817542,0.03393,"Software","US","Common Stock"
,"BN14T59","FBRT","Franklin BSP Realty Trust Inc",1419317,$17727269.33,0.03376,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"BMZ2WT7","BMBL","Bumble Inc",1745327,$17627802.7,0.03357,"Interactive Media & Services","US","Common Stock"
,"2090816","BHE","Benchmark Electronics Inc",581401,$17564124.21,0.03345,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2946845","WMK","Weis Markets Inc",276805,$17474699.65,0.03328,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BNTW041","CMTG","Claros Mortgage Trust Inc",2006200,$17453940,0.03324,"Mortgage Real Estate Investment Trusts (REITs)","US","Common Stock"
,"2150420","SCS","Steelcase Inc",1448991,$17431361.73,0.03319,"Commercial Services & Supplies","US","Common Stock"
,"B0X46B1","KOP","Koppers Holdings Inc",339285,$17398534.8,0.03313,"Chemicals","US","Common Stock"
,"BDRW1P1","REVG","REV Group Inc",795214,$17383378.04,0.0331,"Machinery","US","Common Stock"
,"BYSPYB3","NWLI","National Western Life Group Inc",35361,$17285164.02,0.03292,"Insurance","US","Common Stock"
,"BKRT1C8","SVC","Service Properties Trust",2819546,$17283816.98,0.03291,"Hotel & Resort REITs","US","REIT"
,"BN47P80","CSR","Centerspace",255705,$17196161.25,0.03275,"Residential REITs","US","REIT"
,"BPMQ8J5","ADEA","Adeia Inc",1746268,$17183277.12,0.03272,"Software","US","Common Stock"
,"BNR4QY1","CRGY","Crescent Energy Co",1599320,$17016764.8,0.0324,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2932048","WNC","Wabash National Corp",734637,$16977461.07,0.03233,"Machinery","US","Common Stock"
,"BVZCNC0","CIM","Chimera Investment Corp",4103330,$16905719.6,0.03219,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"BM8NHT2","ECVT","Ecovyst Inc",1792398,$16902313.14,0.03219,"Chemicals","US","Common Stock"
,"2118707","FDP","Fresh Del Monte Produce Inc",660378,$16885865.46,0.03216,"Food Products","US","Common Stock"
,"BLFDXF6","STEP","StepStone Group Inc",467078,$16847503.46,0.03208,"Capital Markets","US","Common Stock"
,"BHRWS81","LEVI","Levi Strauss & Co",791324,$16791895.28,0.03198,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"B3NTLD4","AAT","American Assets Trust Inc",783328,$16724052.8,0.03185,"Diversified REITs","US","REIT"
,"BH3T5K7","EPAC","Enerpac Tool Group Corp",464189,$16539054.07,0.0315,"Machinery","US","Common Stock"
,"BMTQ7V2","ALAB","Astera Labs Inc",194750,$16507010,0.03143,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2060370","ASTE","Astec Industries Inc",390012,$16302501.6,0.03104,"Machinery","US","Common Stock"
,"BNZFTG9","ACT","Enact Holdings Inc",547915,$16289512.95,0.03102,"Financial Services","US","Common Stock"
,"2782038","MATV","Mativ Holdings Inc",883277,$16128638.02,0.03071,"Chemicals","US","Common Stock"
,"BRBCSP4","CGON","CG oncology Inc",399023,$16036734.37,0.03054,"Biotechnology","US","Common Stock"
,"2387109","GES","Guess? Inc",598640,$16031579.2,0.03053,"Specialty Retail","US","Common Stock"
,"2443078","ECPG","Encore Capital Group Inc",383546,$15759905.14,0.03001,"Consumer Finance","US","Common Stock"
,"BVGC697","VSTO","Vista Outdoor Inc",448794,$15748181.46,0.02999,"Leisure Products","US","Common Stock"
,"BCBVTX1","AGIO","Agios Pharmaceuticals Inc",481899,$15661717.5,0.02982,"Biotechnology","US","Common Stock"
,"B7M66F1","MRC","MRC Global Inc",1375034,$15441631.82,0.02941,"Trading Companies & Distributors","US","Common Stock"
,"BSHZ3P9","PRAA","PRA Group Inc",639476,$15213134.04,0.02897,"Consumer Finance","US","Common Stock"
,"BRJ8H91","ARR","ARMOUR Residential REIT Inc",836936,$15207127.12,0.02896,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"2606570","BHLB","Berkshire Hills Bancorp Inc",708786,$15111317.52,0.02878,"Banks","US","Common Stock"
,"B034L49","BGS","B&G Foods Inc",1348507,$14968427.7,0.0285,"Food Products","US","Common Stock"
,"BYVN953","SNDR","Schneider National Inc",720996,$14910197.28,0.02839,"Ground Transportation","US","Common Stock"
,"2260363","DLX","Deluxe Corp",752096,$14853896,0.02829,"Commercial Services & Supplies","US","Common Stock"
,"BN0TQF4","ZETA","Zeta Global Holdings Corp",1185773,$14656154.28,0.02791,"Software","US","Common Stock"
,"B3M3278","PDM","Piedmont Office Realty Trust Inc",2123473,$14630728.97,0.02786,"Office REITs","US","REIT"
,"BFFVV54","AVNS","Avanos Medical Inc",792453,$14327550.24,0.02728,"Health Care Equipment & Supplies","US","Common Stock"
,"BFNF1D6","AMRX","Amneal Pharmaceuticals Inc",2365974,$14314142.7,0.02726,"Pharmaceuticals","US","Common Stock"
,"BD4LHG4","NGVT","Ingevity Corp",279581,$14297772.34,0.02723,"Chemicals","US","Common Stock"
,"BNKGY06","FA","First Advantage Corp",871158,$14199875.4,0.02704,"Professional Services","US","Common Stock"
,"BDDXF67","INVA","Innoviva Inc",934332,$14117756.52,0.02688,"Pharmaceuticals","US","Common Stock"
,"B64B9P8","HPP","Hudson Pacific Properties Inc",2418985,$14030113,0.02672,"Office REITs","US","REIT"
,"BN7VBP8","BRSP","BrightSpire Capital Inc",2229360,$14022674.4,0.0267,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"2856289","RGR","Sturm Ruger & Co Inc",302959,$14005794.57,0.02667,"Leisure Products","US","Common Stock"
,"2382416","AXL","American Axle & Manufacturing Holdings Inc",1907520,$14001196.8,0.02666,"Automobile Components","US","Common Stock"
,"B0539H3","HLF","Herbalife Ltd",1617305,$13989688.25,0.02664,"Personal Care Products","US","Common Stock"
,"2977500","WWW","Wolverine World Wide Inc",1299330,$13954804.2,0.02657,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BNLYJ71","BASE","Couchbase Inc",577135,$13932038.9,0.02653,"IT Services","US","Common Stock"
,"BYXR9C0","PUMP","ProPetro Holding Corp",1596130,$13918253.6,0.0265,"Energy Equipment & Services","US","Common Stock"
,"BVYJBR3","ZG","Zillow Group Inc",329438,$13836396,0.02635,"Real Estate Management & Development","US","Common Stock"
,"2786687","SEB","Seaboard Corp",4161,$13773367.71,0.02623,"Food Products","US","Common Stock"
,"BPLYVQ8","LLYVA","Liberty Media Corp-Liberty Live",380984,$13662086.24,0.02602,"Entertainment","US","Tracking Stk"
,"2938002","ATSG","Air Transport Services Group Inc",1063553,$13634749.46,0.02596,"Air Freight & Logistics","US","Common Stock"
,"BK95GR4","LC","LendingClub Corp",1798985,$13528367.2,0.02576,"Consumer Finance","US","Common Stock"
,"2568090","MATW","Matthews International Corp",499913,$13487652.74,0.02568,"Commercial Services & Supplies","US","Common Stock"
,"B6T6J81","PRLB","Proto Labs Inc",441163,$13446648.24,0.02561,"Machinery","US","Common Stock"
